Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Date,Century,Sphere,Type,Topic,Publication,Medium,Full context,Слово слева,Значение,Meaning number,Зависит ли от какого-то слова в предложении,POS,full_tag,Семантика глагола. К какой сем. группе он относится?,Вершинное слово: препозиция или постпозиция,Расстояние от вершинного слова,Значение (abs),Вершинное слово,Начальная форма,Прямое или переносное значение,Есть ли ещё,Full context
"качели, и я буду летать туда-сюда,",туда-сюда,.,,Аркадий Гайдар. Тимур и его команда (1940),Аркадий Гайдар,1904,Тимур и его команда,1940,1940,XX 1st half,художественная,повесть,,А. П. Гайдар. Избранное,книга,"Мама, -- попросила она, -- сделай мне качели, и я буду летать туда-сюда, туда-сюда.",туда-сюда,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,летать,летать,Прямое,Отсутствует,"Мама, -- попросила она, -- сделай мне качели, и я буду летать туда-сюда, туда-сюда."
"гладь моря, суровые скалистые берега, снующие",туда-сюда,,рыбацкие моторные суда...,"Т. Щапова. На отливе // «Юный натуралист, 1940",Т. Щапова,,На отливе,1940,1940,XX 1st half,публицистика,очерк,природа,«Юный натуралист,журнал,"Бесконечная гладь моря, суровые скалистые берега, снующие туда-сюда рыбацкие моторные суда...",снующие,"В разные стороны, во все концы",1,Да,причастие (полное),"PRTF, impf, intr, pres, actv plur, nomn",движения,препозиция,0,0,снующие,сновать,Прямое,Отсутствует,"Бесконечная гладь моря, суровые скалистые берега, снующие туда-сюда рыбацкие моторные суда..."
"приятель попробовал одну, другую рукоятку, повертел",туда-сюда,.,,митрополит Вениамин (Федченков). На рубеже двух эпох (1940-1950),митрополит Вениамин (Федченков),1880,На рубеже двух эпох,1940-1950,1940,XX 1st half,церковно-богословская,мемуары,религия | философия,"Вениамин (Федченков). На рубеже двух эпох. Подгот. текста, вступ. ст., коммент. А. К. Светозарский",книга,"Хотя доселе он не занимался этим делом, но пока заведующий рабочими куда-то выходил, наш приятель попробовал одну, другую рукоятку, повертел туда-сюда.",повертел,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran masc, sing, past, indc",конкретного физического действия,препозиция,0,0,повертел,повертеть,Прямое,Отсутствует,"Хотя доселе он не занимался этим делом, но пока заведующий рабочими куда-то выходил, наш приятель попробовал одну, другую рукоятку, повертел туда-сюда."
"Я хотел ее нагнать, кинулся",туда-сюда,",",но не разыскал: не нашел и,А. А. Бек. Талант (Жизнь Бережкова) / Части 1-3 (1940-1956),А. А. Бек,1903,Талант (Жизнь Бережкова) / Части 1-3,1940-1956,1940,XX 1st half,художественная,роман,,Бек А. Собрание сочинений. В 4-х томах. Волоколамское шоссе. Военные рассказы и очерки,книга,"Я хотел ее нагнать, кинулся туда-сюда, но не разыскал: не нашел и выброшенного подарка.",кинулся,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr masc, sing, past, indc",конкретного физического действия,препозиция,0,0,кинулся,кинуться,Прямое,Отсутствует,"Я хотел ее нагнать, кинулся туда-сюда, но не разыскал: не нашел и выброшенного подарка."
Федька вертелся по мастерской,туда-сюда,",","искоса поглядывал на Игнатыча, и Филипп",Б. С. Житков. Виктор Вавич. Книга первая (1941),Б. С. Житков,1882,Виктор Вавич. Книга первая,1941,1941,XX 1st half,художественная,роман,,Б. С. Житков. Виктор Вавич,книга,"Федька вертелся по мастерской туда-сюда, искоса поглядывал на Игнатыча, и Филипп видел, как он вынырнул вон.",мастерской,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",движения,препозиция,2,2,вертелся,вертеться,Прямое,Отсутствует,"Федька вертелся по мастерской туда-сюда, искоса поглядывал на Игнатыча, и Филипп видел, как он вынырнул вон."
,туда-сюда,",","печенья, огурцы, помидоры, обед...",Г. С. Эфрон. Дневники. Т. 2 (1941-1943),Г. С. Эфрон,1925,Дневники. Т. 2,1941-1943,1941,XX 1st half,бытовая,"дневник, записные книжки",,Эфрон Г. Дневники в 2 т,книга,"Туда-сюда, печенья, огурцы, помидоры, обед...",,Таким или иным образом,3,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Переносное,Отсутствует,"Туда-сюда, печенья, огурцы, помидоры, обед..."
Посмотрел,туда,",",сюда -- рядом печь старая.,И. А. Ефремов. Путями старых горняков (1942-1943),И. А. Ефремов,1908,Путями старых горняков,1942-1943,1942,XX 1st half,художественная,рассказ,,"Алмазная труба. ― М.: Детгиз, 1954",книга,"Посмотрел туда, сюда -- рядом печь старая.",Посмотрел,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran masc, sing, past, indc",восприятия,препозиция,0,0,посмотрел,посмотреть,Прямое,Отсутствует,"Посмотрел туда, сюда -- рядом печь старая."
"не раз видели, как школьники бегали",туда-сюда,,в лес.,Л. А. Кассиль. У классной доски (1942),Л. А. Кассиль,1905,У классной доски,1942,1942,XX 1st half,художественная,рассказ,,Собр. соч.: В 5 т. Т. 3,книга,"Немецкие разведчики не раз видели, как школьники бегали туда-сюда в лес.",бегали,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, past, indc",движения,препозиция,0,0,бегали,бегать,Прямое,Отсутствует,"Немецкие разведчики не раз видели, как школьники бегали туда-сюда в лес."
Он подвинул свои шашки,туда-сюда,,и запер шашку Аминбека.,А. П. Платонов. Башкирские народные сказки в пересказе Андрея Платонова (1942-1947),А. П. Платонов,1899,Башкирские народные сказки в пересказе Андрея Платонова,1942-1947,1942,XX 1st half,художественная,сказка,,Андрей Платонов. Собрание сочинений в 5-ти томах,книга,Он подвинул свои шашки туда-сюда и запер шашку Аминбека.,шашки,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran masc, sing, past, indc",конкретного физического действия,препозиция,2,2,подвинул,подвинуть,Прямое,Отсутствует,Он подвинул свои шашки туда-сюда и запер шашку Аминбека.
"встала из-за стола и, думая, прошлась",туда-сюда,,по кухне...,Михаил Бубеннов. Белая береза / части 3-6 (1942-1952),Михаил Бубеннов,1909,Белая береза / части 3-6,1942-1952,1942,XX 1st half,художественная,роман,,Бубеннов М. С. Собрание сочинений в четырех томах. ― Т. 2,книга,"Не допив чашку чая, Марийка встала из-за стола и, думая, прошлась туда-сюда по кухне...",прошлась,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr femn, sing, past, indc",движения,препозиция,0,0,прошлась,пройтись,Прямое,Отсутствует,"Не допив чашку чая, Марийка встала из-за стола и, думая, прошлась туда-сюда по кухне..."
Не,туда,",",сюда плачьте!,Л. К. Бронтман. Дневники и письма (1943-1946),Л. К. Бронтман,1905,Дневники и письма,1943-1946,1943,XX 1st half,публицистика,"дневник, записные книжки",,Бронтман Л. К. Дневники 1932–1947,книга,"Не туда, сюда плачьте!",Не,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, impr, excl",эмоциональные действия,постпозиция,0,0,плачьте,плакать,Переносное,Отсутствует,"Не туда, сюда плачьте!"
"бы где-нибудь, а не бродили бы",туда-сюда,.,,Е. Л. Шварц. Дракон (1943),Е. Л. Шварц,1896,Дракон,1943,1943,XX 1st half,художественная,пьеса | сказка,,Е. Л. Шварц. Пьесы,книга,"Они -- враги любой государственной системы, иначе они обосновались бы где-нибудь, а не бродили бы туда-сюда.",бы,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, past, indc",движения,препозиция,0,0,бродили,бродить,Прямое,Отсутствует,"Они -- враги любой государственной системы, иначе они обосновались бы где-нибудь, а не бродили бы туда-сюда."
Я --,туда-сюда,.,,К. А. Федин. Первые радости (1943-1945),К. А. Федин,1892,Первые радости,1943-1945,1943,XX 1st half,художественная,роман,,Федин К. А. Первые радости: Роман. Необыкновенное лето: Роман,книга,Я -- туда-сюда.,я,"Ничего, сойдет ",2,Да,местоимение,"NPRO, 1per sing, nomn",,препозиция,0,0,я,я,Переносное,Отсутствует,Я -- туда-сюда.
Днем ещё,туда-сюда,",",но ночью летали очень много.,Л. К. Бронтман. Дневники и письма (1943-1946),Л. К. Бронтман,1905,Дневники и письма,1943-1946,1943,XX 1st half,публицистика,"дневник, записные книжки",,Бронтман Л. К. Дневники 1932–1947,книга,"Днем ещё туда-сюда, но ночью летали очень много.",ещё,"Ничего, сойдет ",2,Да,существительное,"NOUN, inan, masc sing, ablt",,препозиция,1,1,днем,день,Переносное,Присутствует,"Днем ещё туда-сюда, но ночью летали очень много."
Пока сбегала,туда-сюда,",",уже и отдела народного образования не,А. А. Фадеев. Молодая гвардия (1943-1951),А. А. Фадеев,1901,Молодая гвардия,1943-1951,1943,XX 1st half,художественная,роман,,А. Фадеев. Молодая гвардия,книга,"Пока сбегала туда-сюда, уже и отдела народного образования не осталось...»",сбегала,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr femn, sing, past, indc",движения,препозиция,0,0,сбегала,сбегать,Прямое,Отсутствует,"Пока сбегала туда-сюда, уже и отдела народного образования не осталось...»"
По железнодорожным линиям ещё,туда,,"сюда, -- приезжаешь -- уезжаешь, а по гужевым",П. П. Бажов. Отслоения дней (1944-1947),П. П. Бажов,1879,Отслоения дней,1944-1947,1944,XX 1st half,публицистика,"письмо | дневник, записные книжки",,"П. П. Бажов. Собрание сочинений в трех томах. Том третий. Под общей редакцией В. А. Бажовой, А. А. Суркова, Е. А. Пермяка",книга,"По железнодорожным линиям ещё туда сюда, -- приезжаешь -- уезжаешь, а по гужевым каждый раз «доезжаешь» до чего-нибудь совершенно для тебя неожиданного, кричащего: «На Урале всю жизнь прожил, а об этом не подумал!»",ещё,"Ничего, сойдет ",2,Да,существительное,"NOUN, inan, femn plur, datv",,препозиция,1,1,по линиям,по линия,Переносное,Присутствует,"По железнодорожным линиям ещё туда сюда, -- приезжаешь -- уезжаешь, а по гужевым каждый раз «доезжаешь» до чего-нибудь совершенно для тебя неожиданного, кричащего: «На Урале всю жизнь прожил, а об этом не подумал!»"
Смотри,туда-сюда,...,,А. И. Пантелеев. Ночные гости (1944),А. И. Пантелеев,1908,Ночные гости,1944,1944,XX 1st half,художественная,пьеса,,Пантелеев А.И. Собрание сочинений: В 4 т. Т. 1,книга,Смотри туда-сюда...,смотри,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran sing, impr, excl",восприятия ,препозиция,0,0,смотри,смотреть,Прямое,Отсутствует,Смотри туда-сюда...
Зимой ещё --,туда-сюда,-,"бураны преужасные, тьма, да и дел",А. Н. Толстой. Петр Первый. Книга третья (1944),А. Н. Толстой,1882,Петр Первый. Книга третья,1944,1944,XX 1st half,художественная,роман,,А. Н. Толстой. Петр Первый,книга,"Зимой ещё -- туда-сюда -- бураны преужасные, тьма, да и дел этой зимой было много...",ещё,"Ничего, сойдет ",2,Да,наречие,ADVB,,препозиция,1,1,зимой,зимой,Переносное,Присутствует,"Зимой ещё -- туда-сюда -- бураны преужасные, тьма, да и дел этой зимой было много..."
"недоумения, все время нагибаются, глазами бегают",туда,,"сюда, не столько работают красками, сколько","Н. Сергеев. Внутренние законы и внешние узаконения в истории развития древнерусской иконописи // Журнал Московской Патриархии, № 12, 1945",Н. Сергеев,,Внутренние законы и внешние узаконения в истории развития древнерусской иконописи,1945,1945,XX 1st half,публицистика,статья,религия | история | искусство и культура,"Журнал Московской Патриархии, № 12",журнал,"Он пишет о виденной им работе византийского мастера: «Когда же он все это рисовал и писал, никто не видел, чтобы он смотрел на образцы, как это делают наши иконописцы, которые, полные недоумения, все время нагибаются, глазами бегают туда сюда, не столько работают красками, сколько принуждены постоянно глядеть на образец, но кажется, что другой кто-то пишет руками, когда Феофан создает образы, так как он не стоит спокойно, языком беседует с приходящими, умом же размышляет о постороннем и разумном; так он своими разумными чувственными очами видит все разумное и доброе» [3]",бегают,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,препозиция,0,0,бегают,бегать,Прямое,Отсутствует,"Он пишет о виденной им работе византийского мастера: «Когда же он все это рисовал и писал, никто не видел, чтобы он смотрел на образцы, как это делают наши иконописцы, которые, полные недоумения, все время нагибаются, глазами бегают туда сюда, не столько работают красками, сколько принуждены постоянно глядеть на образец, но кажется, что другой кто-то пишет руками, когда Феофан создает образы, так как он не стоит спокойно, языком беседует с приходящими, умом же размышляет о постороннем и разумном; так он своими разумными чувственными очами видит все разумное и доброе» [3]"
"Я, естественное дело,",туда-сюда,",",отнекиваться.,Б. Л. Пастернак. Доктор Живаго (1945-1955),Б. Л. Пастернак,1890,Доктор Живаго,1945-1955,1945,XX 1st half,художественная,роман,,Борис Пастернак. Доктор Живаго,книга,"Я, естественное дело, туда-сюда, отнекиваться.",дело,"То так, то наоборот ",4,Да,местоимение,"NPRO, 1per sing, nomn",,препозиция,2,2,я,я,Переносное,Отсутствует,"Я, естественное дело, туда-сюда, отнекиваться."
,туда-сюда,,сновали люди.,А. И. Делианич. Вольфсберг-373 (1945-1960),А. И. Делианич,1909,Вольфсберг-373,1945-1960,1945,XX 1st half,публицистика,мемуары,администрация и управление | транспорт | политика и общественная жизнь | криминал | армия и вооруженные конфликты | религия | частная жизнь,,книга,Туда-сюда сновали люди.,,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, past, indc",движения,постпозиция,0,0,сновали,сновать,Прямое,Отсутствует,Туда-сюда сновали люди.
ещё мужчину,туда-сюда,",",да и то пока барина каприз,О. Д. Форш. Михайловский замок (1946),О. Д. Форш,1873,Михайловский замок,1946,1946,XX 1st half,художественная,роман,,О. Форш. Одеты камнем. Михайловский замок: Романы,книга,"ещё мужчину туда-сюда, да и то пока барина каприз не прошел.",мужчину,"Ничего, сойдет ",2,Да,существительное,"NOUN, anim, masc sing, accs",,препозиция,0,0,мужчину,мужчина,Переносное,Присутствует,"ещё мужчину туда-сюда, да и то пока барина каприз не прошел."
Баба ещё,туда-сюда,",",но сыновья -- настоящие черти.,Е. Петров. Остров мира. Комедия в 4 актах (1947),Е. Петров,1902,Остров мира. Комедия в 4 актах,1947,1947,XX 1st half,художественная,пьеса,,"Илья Ильф и Евгений Петров. Собрание сочинений в 5 томах. Том 5. М.: «Художественная литература», 1961",электронный текст,"Баба ещё туда-сюда, но сыновья -- настоящие черти.",ещё,"Ничего, сойдет ",2,Да,существительное,"NOUN, anim, femn sing, nomn",,препозиция,1,1,баба,баба,Переносное,Присутствует,"Баба ещё туда-сюда, но сыновья -- настоящие черти."
"Сейчас ничего,",туда-сюда,",","отдышались, самым главным обзавелись, государство сильную",В. Ф. Панова. Ясный берег (1949),В. Ф. Панова,1905,Ясный берег,1949,1949,XX 1st half,художественная,повесть,,Панова В. Ф. Собр. соч.: В 5 т. Т. 3,книга,"Сейчас ничего, туда-сюда, отдышались, самым главным обзавелись, государство сильную дает поддержку!",ничего,"Ничего, сойдет ",2,Да,наречие,ADVB,,препозиция,1,1,сейчас,сейчас,Переносное,Отсутствует,"Сейчас ничего, туда-сюда, отдышались, самым главным обзавелись, государство сильную дает поддержку!"
Пока,туда-сюда,,мы пошли с Борисом палки вырезать,Константин Филоненко. Дневник (1953),Константин Филоненко,,Дневник,1953,1953,XX 2d half,бытовая,"дневник, записные книжки",армия и вооруженные конфликты | частная жизнь,,электронный текст,Пока туда-сюда мы пошли с Борисом палки вырезать -- впереди самый опасный путь -- можно ожидать нападения сванов.,пока,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran sing, impr, excl",конкретного физического действия,постпозиция,1,-1,пошли,послать,Прямое,Отсутствует,Пока туда-сюда мы пошли с Борисом палки вырезать -- впереди самый опасный путь -- можно ожидать нападения сванов.
"по всем линиям острова, как говорится,",туда-сюда,,и обратно тихонько влекутся они с,"Анатолий Дар. Солнце все же светит. Часть вторая. Блокада // «Грани», 1954",Анатолий Дар,1920,Солнце все же светит. Часть вторая. Блокада,1954,1954,XX 2d half,художественная,роман,документальная проза,«Грани»,журнал,"Часто можно видеть, как по всем линиям острова, как говорится, туда-сюда и обратно тихонько влекутся они с узелками, крестясь и, охая...",говорится,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr plur, 3per, pres, indc",движения,постпозиция,3,-3,влекутся,влечься,Прямое,Отсутствует,"Часто можно видеть, как по всем линиям острова, как говорится, туда-сюда и обратно тихонько влекутся они с узелками, крестясь и, охая..."
"мячик и стала припевать: «прыг, скок,",туда,",","сюда, сверху, снизу, сбоку, прямо...»",Г. В. Адамович. Тэффи (1955),Г. В. Адамович,1892,Тэффи,1955,1955,XX 2d half,публицистика,статья,культурология | филология | искусство и культура,Адамович Г. В. Одиночество и свобода,книга,"Она вынула из кармана мячик и стала припевать: «прыг, скок, туда, сюда, сверху, снизу, сбоку, прямо...»",скок,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Она вынула из кармана мячик и стала припевать: «прыг, скок, туда, сюда, сверху, снизу, сбоку, прямо...»"
"Леонид Иванович встал, чтобы пройтись",туда-сюда,.,,Владимир Дудинцев. Не хлебом единым (1956),Владимир Дудинцев,1918,Не хлебом единым,1956,1956,XX 2d half,художественная,роман,,Дудинцев В. Не хлебом единым,книга,"Леонид Иванович встал, чтобы пройтись туда-сюда.",пройтись,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, perf, intr",движения,препозиция,0,0,пройтись,пройтись,Прямое,Отсутствует,"Леонид Иванович встал, чтобы пройтись туда-сюда."
Я,туда-сюда,...,,Э. Ю. Триоле. Заглянуть в прошлое (1956-1957),Э. Ю. Триоле,1896,Заглянуть в прошлое,1956-1957,1956,XX 2d half,публицистика,мемуары,частная жизнь | искусство и культура,«Современницы о Маяковском»,книга,Я туда-сюда...,я,"Ничего, сойдет ",2,Да,местоимение,"NPRO, 1per sing, nomn",,препозиция,0,0,я,я,Переносное,Отсутствует,Я туда-сюда...
У меня же денег не хватит,туда-сюда,,ездить!,Борис Можаев. Саня (1957),Борис Можаев,1923,Саня,1957,1957,XX 2d half,художественная,рассказ,,Борис Можаев. Живой. Повесть и рассказы,книга,У меня же денег не хватит туда-сюда ездить!,хватит,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,постпозиция,0,0,ездить,ездить,Прямое,Отсутствует,У меня же денег не хватит туда-сюда ездить!
"все текло, расползалось, что-то он вертел,",туда,",","сюда, метался, все валилось из рук",Аркадий Белинков. Сдача и гибель советского интеллигента. Юрий Олеша / Смерть поэта (1958-1968),Аркадий Белинков,1921,Сдача и гибель советского интеллигента. Юрий Олеша / Смерть поэта,1958-1968,1958,XX 2d half,публицистика,монография,искусство и культура,А. В. Белинков. Сдача и гибель советского интеллигента. Юрий Олеша,книга,"Трагедия была в том, что все текло, расползалось, что-то он вертел, туда, сюда, метался, все валилось из рук, он знал, что сколько ни крутись, а роман не получишь, может быть, создать новый жанр?",вертел,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran masc, sing, past, indc",конкретного физического действия,препозиция,0,0,вертел,вертеть,Прямое,Отсутствует,"Трагедия была в том, что все текло, расползалось, что-то он вертел, туда, сюда, метался, все валилось из рук, он знал, что сколько ни крутись, а роман не получишь, может быть, создать новый жанр?"
"свободе, человеческом достоинстве, то да се,",туда-сюда,,"с инстанциями, лучше их разбирающихся в",Аркадий Белинков. Сдача и гибель советского интеллигента. Юрий Олеша / Проглоченная флейта (1958-1968),Аркадий Белинков,1921,Сдача и гибель советского интеллигента. Юрий Олеша / Проглоченная флейта,1958-1968,1958,XX 2d half,публицистика,монография,искусство и культура,А. В. Белинков. Сдача и гибель советского интеллигента. Юрий Олеша,книга,"Юрий Олеша опровергает Кавалерова, самого себя и тех интеллигентов, которые затевают совершенно неуместный спор и дискуссии о свободе, человеческом достоинстве, то да се, туда-сюда с инстанциями, лучше их разбирающихся в подобных вопросах.",се,"Ничего, сойдет ",2,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Переносное,Отсутствует,"Юрий Олеша опровергает Кавалерова, самого себя и тех интеллигентов, которые затевают совершенно неуместный спор и дискуссии о свободе, человеческом достоинстве, то да се, туда-сюда с инстанциями, лучше их разбирающихся в подобных вопросах."
"мог уснуть, слонялся в лунную ночь",туда-сюда,,под окнами своей избы и скрипел,Сергей Никитин. Огуречный агроном (1959),Сергей Никитин,1926,Огуречный агроном,1959,1959,XX 2d half,художественная,рассказ,,Советский рассказ (Серия БВЛ). Т. 2,книга,"А потом долго не мог уснуть, слонялся в лунную ночь туда-сюда под окнами своей избы и скрипел на морозе валенками.",ночь,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",движения,препозиция,3,3,слонялся,слоняться,Прямое,Отсутствует,"А потом долго не мог уснуть, слонялся в лунную ночь туда-сюда под окнами своей избы и скрипел на морозе валенками."
которому не пристало без толку вертеть,туда-сюда,,затылком…,Г. Е. Николаева. Битва в пути (1959),Г. Е. Николаева,1911,Битва в пути,1959,1959,XX 2d half,художественная,роман,,Николаева Г.E. Битва в пути,книга,"Вся спина говорила о том, что удаляется человек ответственный, которому не пристало без толку вертеть туда-сюда затылком…",вертеть,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, tran",конкретного физического действия,препозиция,0,0,вертеть,вертеть,Прямое,Отсутствует,"Вся спина говорила о том, что удаляется человек ответственный, которому не пристало без толку вертеть туда-сюда затылком…"
Министр,туда-сюда,,разослал людей.,"Юрий Арбат. Звонкое чудо // «Огонек». № 39, 1959",Юрий Арбат,,Звонкое чудо,1959,1959,XX 2d half,художественная,сказ,,«Огонек». № 39,журнал,Министр туда-сюда разослал людей.,министр,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, tran masc, sing, past, indc",конкретного физического действия,постпозиция,0,0,разослал,разослать,Прямое,Отсутствует,Министр туда-сюда разослал людей.
"такого не водится, чтоб с парнями",туда-сюда,.,,Юрий Трифонов. Утоление жажды (1959-1962),Юрий Трифонов,1925,Утоление жажды,1959-1962,1959,XX 2d half,художественная,роман,,Ю. В. Трифонов. Утоление жажды,книга,"У нас такого не водится, чтоб с парнями туда-сюда.",парнями,"В разные стороны, во все концы",1,Да,существительное,"NOUN, anim, masc plur, ablt",,препозиция,0,0,с парнями,с парень,Переносное,Отсутствует,"У нас такого не водится, чтоб с парнями туда-сюда."
"стальной, двумя руками схватил и туда-сюда,",туда-сюда,,"пошёл ею стену драить, очищая верхний",Александр Солженицын. Один день Ивана Денисовича (1961),Александр Солженицын,1918,Один день Ивана Денисовича,1961,1961,XX 2d half,художественная,рассказ,,Солженицын А.И. На краях,книга,"Сенька лёд докалывал, а Шухов уже схватил метёлку из проволоки стальной, двумя руками схватил и туда-сюда, туда-сюда пошёл ею стену драить, очищая верхний ряд шлакоблоков хоть не дочиста, но до лёгкой сединки снежной, и особенно из швов.",туда-сюда,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr masc, sing, past, indc",движения,постпозиция,0,0,пошёл,пойти,Прямое,Отсутствует,"Сенька лёд докалывал, а Шухов уже схватил метёлку из проволоки стальной, двумя руками схватил и туда-сюда, туда-сюда пошёл ею стену драить, очищая верхний ряд шлакоблоков хоть не дочиста, но до лёгкой сединки снежной, и особенно из швов."
С рассвета гоняю,туда-сюда,,эту дурацкую водовозку.,Чингиз Айтматов. Верблюжий глаз (1962),Чингиз Айтматов,1928,Верблюжий глаз,1962,1962,XX 2d half,художественная,рассказ,,Советский рассказ (Серия БВЛ). Т. 2,книга,С рассвета гоняю туда-сюда эту дурацкую водовозку.,гоняю,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran sing, 1per, pres, indc",движения,препозиция,0,0,гоняю,гонять,Прямое,Отсутствует,С рассвета гоняю туда-сюда эту дурацкую водовозку.
"книгой, он почувствовал, что, перестав сновать",туда-сюда,",",она как будто не ушла из,А. И. Солженицын. Случай на станции Кочетовка (1962),А. И. Солженицын,1918,Случай на станции Кочетовка,1962,1962,XX 2d half,художественная,рассказ,,Солженицын А. На краях,книга,"А ещё через несколько дней, сидя над книгой, он почувствовал, что, перестав сновать туда-сюда, она как будто не ушла из зальца.",сновать,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,сновать,сновать,Прямое,Отсутствует,"А ещё через несколько дней, сидя над книгой, он почувствовал, что, перестав сновать туда-сюда, она как будто не ушла из зальца."
"Усуни или Саки, ну это ещё",туда-сюда,",",а римляне-то как сюда попадут?,"Ю. О. Домбровский. Хранитель древностей, часть 1 (1964)",Ю. О. Домбровский,1909,"Хранитель древностей, часть 1",1964,1964,XX 2d half,художественная,роман,,Домбровский Ю.О. Собр. соч.: В 6 т. Т. 4,книга,"Ну пусть бы какая-нибудь Усуни или Саки, ну это ещё туда-сюда, а римляне-то как сюда попадут?",ещё,"Ничего, сойдет ",2,Да,частица,PRCL,,препозиция,1,1,это,это,Переносное,Присутствует,"Ну пусть бы какая-нибудь Усуни или Саки, ну это ещё туда-сюда, а римляне-то как сюда попадут?"
переселились в цех: глупо было ходить,туда-сюда,,в лагерную зону ради четырех часов,"Я. Е. Харон. Злые песни Гийома дю Вентре (1965) // Я. Харон. Злые песни Гийома дю Вентре. Прозаический комментарий к поэтической биографии, 1989",Я. Е. Харон,1914,Злые песни Гийома дю Вентре,1965,1965,XX 2d half,публицистика,мемуары,,Я. Харон. Злые песни Гийома дю Вентре. Прозаический комментарий к поэтической биографии,газета,"Но это все было потом, а в те первые горячие денечки мы попросту переселились в цех: глупо было ходить туда-сюда в лагерную зону ради четырех часов сна...",ходить,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,ходить,ходить,Прямое,Отсутствует,"Но это все было потом, а в те первые горячие денечки мы попросту переселились в цех: глупо было ходить туда-сюда в лагерную зону ради четырех часов сна..."
"каким-то уступом, а по уступу прохаживался",туда-сюда,,часовой с автоматом.,Анатолий Кузнецов. Бабий яр (1965-1970),Анатолий Кузнецов,1929,Бабий яр,1965-1970,1965,XX 2d half,художественная,роман,,Анатолий Кузнецов. Бабий яр,книга,"Они сидели под каким-то уступом, а по уступу прохаживался туда-сюда часовой с автоматом.",прохаживался,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",движения,препозиция,0,0,прохаживался,прохаживаться,Прямое,Отсутствует,"Они сидели под каким-то уступом, а по уступу прохаживался туда-сюда часовой с автоматом."
Кидался я,туда-сюда,",","невесть сколько ползком прополз, наконец забился",Эдуард Шим. Приключения зайца (1965-1985),Эдуард Шим,1930,Приключения зайца,1965-1985,1965,XX 2d half,художественная,сказка,,Сказки советских писателей,книга,"Кидался я туда-сюда, невесть сколько ползком прополз, наконец забился в кусты и лежу, плачу.",я,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, intr masc, sing, past, indc",конкретного физического действия,препозиция,1,1,кидался,кидаться,Прямое,Отсутствует,"Кидался я туда-сюда, невесть сколько ползком прополз, наконец забился в кусты и лежу, плачу."
